R_norvegicus_5295889,Rattus norvegicus,10116,RATTNORV0
Rattus_norvegicus_56541028,Rattus norvegicus,10116,RATTNORV0
Rattus_norvegicus_213688328,Rattus norvegicus,10116,RATTNORV0
Rattus_norvegicus_51854250,Rattus norvegicus,10116,RATTNORV0
Rattus_norvegicus_204577,Rattus norvegicus,10116,RATTNORV0
R_tigrinus_21326193,Rhabdophis tigrinus,126484,RHABTIGR0
R_tigrinus_73346757,Rhabdophis tigrinus,126484,RHABTIGR0
R_nigrescens_118151771,Rhinoplocephalus nigrescens,292442,RHINNIGR0
R_nigrescens_90103002,Rhinoplocephalus nigrescens,292442,RHINNIGR0
Rhinoplocephalus_nigrescens_239618548,Rhinoplocephalus nigrescens,292442,RHINNIGR0
Saimiri_sciureus_2281120,Saimiri sciureus,9521,SAIMSCIU0
Salmo_salar_209148015,Salmo salar,8030,SALMSALA0
Schistosoma_mansoni_256074136,Schistosoma mansoni,6183,SCHIMANS0
S_catenatus_109254987,Sistrurus catenatus,8756,SISTCATE0
